original_image_name,orig_dataset,node21_img_id
1522_IM-0338-0001-0002,openi,c0680
00001156_000,chestxray14,c0681
358_IM-1759-1001,openi,c0682
216840111366964012558082906712010019121023278_02-128-135,padchest,c0683
261726541194581021246418307118377342573_f2fqdm,padchest,c0684
216840111366964014008416513202014182141939868_01-165-140,padchest,c0685
479_IM-2102-1001,openi,c0686
00000772_001,chestxray14,c0687
266894481185370281130310470161409537552_riyj0g,padchest,c0688
3339_IM-1599-1001,openi,c0689
00000659_000,chestxray14,c0690
2017_IM-0665-1001,openi,c0691
20_IM-0653-1001,openi,c0692
307577496018714238410004309185300602964_-f7m1d,padchest,c0693
216840111366964012922382741642011003130021963_00-123-160,padchest,c0694
2833_IM-1249-1001,openi,c0695
298234685456541784740948167449097058978_oaoh1j,padchest,c0696
1482_IM-0313-1001,openi,c0697
2731_IM-1189-1001,openi,c0698
444_IM-2079-1001,openi,c0699
278145958936920136774696500785123128624_huslud,padchest,c0700
290157194573672998704077870376763724913_n4y9rv,padchest,c0701
00001838_000,chestxray14,c0702
00000564_000,chestxray14,c0703
3885_IM-1971-1001,openi,c0704
1605_IM-0393-3001,openi,c0705
1545_IM-0355-2002,openi,c0706
2665_IM-1145-1001,openi,c0707
3025_IM-1400-1001,openi,c0708
428_IM-2070-1001,openi,c0709
00000453_000,chestxray14,c0710
216840111366964013590140476722013051121444734_02-061-019,padchest,c0711
00001261_000,chestxray14,c0712
309723035471118408088514295548452837941_xpea3i,padchest,c0713
00001897_000,chestxray14,c0714
205021594902213469105928806151279616759_lu9x9r,padchest,c0715
110_IM-0067-1001,openi,c0716
2785_IM-1220-1001,openi,c0717
00001040_002,chestxray14,c0718
00001639_000,chestxray14,c0719
00001892_002,chestxray14,c0720
1260_IM-0176-1001,openi,c0721
252666844113621359571906938037359436497_6ayrkc,padchest,c0722
3015_IM-1392-1001,openi,c0723
216840111366964012558082906712009303101154273_00-076-025,padchest,c0725
1447_IM-0289-1001,openi,c0726
303207980321707230646794975692194135848_kj7u48,padchest,c0727
2596_IM-1086-1001,openi,c0728
3585_IM-1763-1001,openi,c0729
JPCNN067,jsrt,c0730
00001849_000,chestxray14,c0731
00001883_000,chestxray14,c0733
266530051740413637148428171852776418361_8arxat,padchest,c0734
216840111366964013076187734852011293103005507_01-002-167,padchest,c0737
216840111366964012734950068292010148105802083_03-150-089,padchest,c0738
1679_IM-0448-1001,openi,c0739
237303067009457988225657600534928942658_y0w66e,padchest,c0740
216840111366964013307756408102012080102346703_01-092-063,padchest,c0741
1987_IM-0644-1001,openi,c0742
3503_IM-1707-3001,openi,c0743
00000996_003,chestxray14,c0744
00001297_001,chestxray14,c0745
13275113656470998453428580992696487783_xskmyh,padchest,c0746
00000257_000,chestxray14,c0747
138_IM-0244-1001,openi,c0748
61924265822247706838740584993323225382_sc3h5g,padchest,c0749
2170_IM-0786-1001,openi,c0750
87902494633342205762618562433534033842_f7wwcx,padchest,c0751
51599107887627032242404749810611760932_2w479n,padchest,c0752
514_IM-2129-2001,openi,c0753
2854_IM-1262-1001,openi,c0754
00001283_000,chestxray14,c0755
315669926733029622621263457390606510608_7h55o3,padchest,c0756
318105959449561290345394432993024234984_jnsl9b,padchest,c0757
1956_IM-0623-1001,openi,c0758
3106_IM-1456-1001,openi,c0759
216840111366964012959786098432011054124440177_00-172-046,padchest,c0760
214826083438705078602975790787452847096_3knshi,padchest,c0761
48039780599266839142703323004089311640_jui3wg,padchest,c0762
00000335_000,chestxray14,c0763
00000836_000,chestxray14,c0764
00001298_000,chestxray14,c0765
254122724385851672438955806009921941658_0nx3kq,padchest,c0766
00000213_000,chestxray14,c0767
00001392_000,chestxray14,c0768
2202_IM-0811-1001,openi,c0769
3132_IM-1473-1001,openi,c0770
251748995461585095308113653668696146452_h5dymt,padchest,c0771
00001007_003,chestxray14,c0772
274202001717611888340964534508380061512_359f69,padchest,c0774
273777784249492078777423124161316545961_u1s9gm,padchest,c0775
216840111366964012558082906712010120144243305_03-148-108,padchest,c0776
49712306927506617979134864049067495709_9x0v86,padchest,c0777
00000168_000,chestxray14,c0778
216840111366964013389126595622012158125710973_01-145-011,padchest,c0779
280293830878724319659589212784576498984_chdbu5,padchest,c0780
2558_IM-1062-10001,openi,c0781
00001687_000,chestxray14,c0782
1084_IM-0058-1001,openi,c0783
68_IM-2251-1001,openi,c0784
2996_IM-1381-1001,openi,c0785
60399597808165313780592203489225172487_upilqx,padchest,c0786
00001917_001,chestxray14,c0787
00000538_000,chestxray14,c0788
216840111366964013590140476722013035120511945_02-055-005,padchest,c0789
00001406_001,chestxray14,c0790
00001359_000,chestxray14,c0791
00001204_001,chestxray14,c0792
3352_IM-1608-1001,openi,c0793
00001000_001,chestxray14,c0794
2680_IM-1154-1001,openi,c0795
2000_IM-0654-1001,openi,c0796
1067_IM-0048-1001,openi,c0797
00001788_000,chestxray14,c0798
00000665_000,chestxray14,c0799
2988_IM-1375-1001,openi,c0800
00000183_001,chestxray14,c0801
1431_IM-0278-1001,openi,c0802
241_IM-0955-1001,openi,c0803
3203_IM-1513-1001,openi,c0804
00001321_000,chestxray14,c0805
263435338794068591197080432529148015946_51feol,padchest,c0806
2920_IM-1323-1001,openi,c0807
311562139464106677145826363972146251772_qb2knv,padchest,c0808
3472_IM-1688-1001,openi,c0809
00001256_000,chestxray14,c0810
216840111366964012819207061112010274141905503_03-189-176,padchest,c0812
00001700_008,chestxray14,c0813
356_IM-1744-1001,openi,c0814
2852_IM-1261-3001,openi,c0815
00001515_000,chestxray14,c0816
216840111366964012558082906712010068135154806_03-163-134,padchest,c0817
3050_IM-1420-1001,openi,c0818
00000519_000,chestxray14,c0819
850_IM-2373-0001-0001,openi,c0820
10280409298348252172487231608795655424_7ngz8z,padchest,c0822
3210_IM-1517-1001,openi,c0823
234847479921489714443660707689181217615_vzjwnd,padchest,c0824
00000689_000,chestxray14,c0825
00001928_000,chestxray14,c0826
2349_IM-0914-1001,openi,c0827
3181_IM-1500-1001,openi,c0828
00001540_000,chestxray14,c0829
00000606_000,chestxray14,c0830
3765_IM-1884-1001,openi,c0831
00001451_000,chestxray14,c0832
00000346_000,chestxray14,c0833
6261939022105099592153359244059721911_1802dp,padchest,c0834
3073_IM-1434-1001,openi,c0835
00000241_000,chestxray14,c0836
216840111366964014008416513202014168160655322_01-196-042,padchest,c0837
00000052_001,chestxray14,c0838
00001269_000,chestxray14,c0839
216840111366964013515091760022012310171225481_01-156-079,padchest,c0840
00000167_000,chestxray14,c0841
3221_IM-1522-1002,openi,c0842
00000486_000,chestxray14,c0843
00000277_002,chestxray14,c0844
985_IM-2472-1001,openi,c0845
00001568_005,chestxray14,c0846
00001766_000,chestxray14,c0847
287338174259640511267486569466245172554_tlps4r,padchest,c0848
986_IM-2473-2002,openi,c0849
00001927_000,chestxray14,c0850
3783_IM-1898-1001,openi,c0851
1267_IM-0179-1001,openi,c0852
2313_IM-0888-1002001,openi,c0853
47505628534280549070296955816419199464_oe5tur,padchest,c0854
69018445470514139916041191094356821922_ylohta,padchest,c0855
68579354598156854599040192419227509037_koc7xf,padchest,c0856
3552_IM-1741-1001,openi,c0857
00001270_000,chestxray14,c0858
216840111366964013076187734852011243144527062_00-119-078,padchest,c0859
216840111366964012558082906712010067161810161_03-153-175,padchest,c0860
1751_IM-0494-1001,openi,c0861
14747842373519304109072114951815645766_kjxsxw,padchest,c0862
216840111366964013686042548532013231162757878_02-019-013,padchest,c0863
24_IM-0949-1001,openi,c0864
00000919_000,chestxray14,c0865
2365_IM-0927-3001,openi,c0866
2461_IM-0994-0001-0002,openi,c0867
216840111366964012989926673512011139085237738_00-152-110,padchest,c0868
2099_IM-0729-1001,openi,c0869
00001692_001,chestxray14,c0870
2024_IM-0670-1001,openi,c0871
216840111366964013534861372972012345101018650_01-135-104,padchest,c0872
00000359_004,chestxray14,c0873
3261_IM-1547-1001,openi,c0874
216840111366964012819207061112010319085418920_04-017-021,padchest,c0875
00001274_000,chestxray14,c0876
216840111366964012558082906712009296103545908_00-072-134,padchest,c0877
245222956318959465554479353227877349531_aguw2o,padchest,c0878
370_IM-1848-1001,openi,c0879
3775_IM-1893-1001,openi,c0880
1428_IM-0274-1001,openi,c0881
2995_IM-1381-1001,openi,c0882
00001830_000,chestxray14,c0883
2445_IM-0981-2002,openi,c0884
88735405441027015649257886593375242106_bhqmg3,padchest,c0885
657_IM-2233-0001-0001,openi,c0886
71143264696966629376525118433600827298_hjf7ap,padchest,c0887
23316363262818330406960545524661024991_81nje6,padchest,c0888
216840111366964013575787468332013022130029803_02-005-110,padchest,c0889
221542660183471569040714910590320261959_66yjy0,padchest,c0890
66063416519672130982130497171656048284_1hpofi,padchest,c0891
00000341_000,chestxray14,c0893
226188962506330706244027020364525709041_9ht8yr,padchest,c0894
11052661872960093492040582907197624978_ttb60u,padchest,c0895
658_IM-2234-1001,openi,c0896
216840111366964012734950068292010159122615282_04-006-122,padchest,c0897
639_IM-2218-1001,openi,c0898
3719_IM-1857-1001,openi,c0899
00001396_000,chestxray14,c0900
279278192748709475677463888021664650041_07bz36,padchest,c0901
00001944_000,chestxray14,c0902
290345601616894780965073345423851631801_pywgax,padchest,c0903
00001934_000,chestxray14,c0904
00001735_000,chestxray14,c0905
2564_IM-1067-1001,openi,c0906
00000960_000,chestxray14,c0907
207719232206361168821229830001149321704_ndobpc,padchest,c0908
309500002674955685474275615693846386532_01oakb,padchest,c0909
2069_IM-0702-1001,openi,c0910
301_IM-1389-1001,openi,c0911
332238727078365511665250652939639786366_pqjkdq,padchest,c0912
325497014682147886578139763711390070524_xk5ffs,padchest,c0913
00000964_000,chestxray14,c0914
00000784_000,chestxray14,c0915
00001228_002,chestxray14,c0916
00001354_000,chestxray14,c0917
47220196253353374650584908891649144414_wvkpxj,padchest,c0918
00001760_000,chestxray14,c0919
3133_IM-1474-1001,openi,c0920
243921702377160346108301300289885680965_c7bdzt,padchest,c0921
00000845_002,chestxray14,c0922
5585531944248083264369062229942084948_7h5xqn,padchest,c0923
JPCNN043,jsrt,c0924
00001457_000,chestxray14,c0925
00001761_000,chestxray14,c0926
1608_IM-0394-1001,openi,c0927
00001654_002,chestxray14,c0928
00000481_000,chestxray14,c0929
00000570_000,chestxray14,c0930
00001447_000,chestxray14,c0931
323279587618131957350287102063368542386_269oky,padchest,c0932
00000081_000,chestxray14,c0933
19531553141040215815885232049188496551_jzfl6p,padchest,c0934
33799799985871136370085552219758554854_tekm6k,padchest,c0935
216840111366964012558082906712009317130736035_03-149-095,padchest,c0936
00001244_000,chestxray14,c0937
3289_IM-1570-1001,openi,c0938
1950_IM-0618-1001,openi,c0939
87227334256837839022431569037379464318_mbx11o,padchest,c0940
216840111366964012373310883942009131135126817_00-109-111,padchest,c0941
00001886_000,chestxray14,c0942
216228207147446083228153317485678658271-2_q3plj2,padchest,c0943
2584_IM-1081-1001,openi,c0944
245793092591932128081216251043660368448_klobgj,padchest,c0945
92119089664805692872372368789299616379_wd8gy1,padchest,c0946
00000431_001,chestxray14,c0947
00001259_000,chestxray14,c0950
719_IM-2280-1001,openi,c0951
00000249_000,chestxray14,c0952
242454072679398310945788935534024234093_vmmbce,padchest,c0953
00001154_001,chestxray14,c0954
345_IM-1672-1001,openi,c0955
1172_IM-0117-1001,openi,c0956
2310_IM-0885-1001,openi,c0957
1182_IM-0124-1001,openi,c0958
00001869_000,chestxray14,c0959
54479054064867754535504798426581785221_nlqr3y,padchest,c0960
218788834244791414012527870287159968867_h4i6z2,padchest,c0961
00001858_000,chestxray14,c0962
00000803_000,chestxray14,c0963
00001487_000,chestxray14,c0964
00000597_000,chestxray14,c0965
00001388_000,chestxray14,c0966
577_IM-2175-1001,openi,c0967
59089286632659343474628029027340928573_fy24pc,padchest,c0968
00001374_000,chestxray14,c0969
00001925_000,chestxray14,c0970
213668615321219536628422131546387951984_v0ddk3,padchest,c0971
281203547177749793234311576358612706260_f7vpwy,padchest,c0972
2667_IM-1146-1001,openi,c0973
216840111366964012819207061112010322135705272_04-022-156,padchest,c0974
3724_IM-1860-2001,openi,c0976
96_IM-2450-2002,openi,c0977
00001481_001,chestxray14,c0978
00000533_003,chestxray14,c0979
43974178687724627989965171550342758802_rfw278,padchest,c0981
79390279148617019259410502789706141984_eta42g,padchest,c0982
57227526130234041916578511528331005978_unxvji,padchest,c0983
00000304_000,chestxray14,c0984
216840111366964013451228379692012261144349874_01-056-039,padchest,c0985
62099871704902880343187697364243424587_5pzx3y,padchest,c0986
00001792_000,chestxray14,c0987
3225_IM-1525-1001,openi,c0988
00000267_000,chestxray14,c0989
29590182955803658897717414279553546960_joq3ka,padchest,c0990
247_IM-1000-1001,openi,c0991
00000977_000,chestxray14,c0992
3067_IM-1430-1001,openi,c0993
00000327_002,chestxray14,c0994
274548346543344880620760566182129183052_qaturg,padchest,c0995
00000770_000,chestxray14,c0996
00001503_000,chestxray14,c0997
216840111366964012339356563862009037133540742_00-061-109,padchest,c0998
21161725385141411621974187534091187533_n7mslx,padchest,c0999
68670098064392137854256391941109603833_8hqox8,padchest,c1000
3665_IM-1823-1001,openi,c1001
00000014_000,chestxray14,c1002
236837950756028937177550693868318736059_e7rkyv,padchest,c1003
198687427221787561855370297023668306242_260owe,padchest,c1004
00000823_004,chestxray14,c1005
2590_IM-1083-1001,openi,c1006
00001348_000,chestxray14,c1007
00000420_000,chestxray14,c1008
18159399250946764037011255844662299691_jfxwy7,padchest,c1009
216840111366964012487858717522009289160542364_00-077-137,padchest,c1010
00000392_000,chestxray14,c1011
247339277575048064748312175940772439102_2_v2rbj8,padchest,c1012
22637191865819802272407307411396707298_jnqfai,padchest,c1013
2551_IM-1058-1001,openi,c1014
980_IM-2468-1001,openi,c1015
12979870914822614547128203856755059792_yomyrm,padchest,c1016
282126234963515646352257585205257086872_r2xshu,padchest,c1017
00000698_000,chestxray14,c1018
707_IM-2270-1001,openi,c1019
2225_IM-0829-3001,openi,c1020
3970_IM-2031-1001,openi,c1021
00000339_000,chestxray14,c1023
630_IM-2211-1001,openi,c1024
584_IM-2181-1001,openi,c1025
00001713_000,chestxray14,c1026
00001533_000,chestxray14,c1027
53993170714258620954008742242481387345_itmwu1,padchest,c1028
259151741301532858545096125700304740773_9qn936,padchest,c1029
2839_IM-1252-1001,openi,c1030
2959_IM-1354-1001,openi,c1031
00000434_000,chestxray14,c1032
216840111366964012989926673512011084144855796_00-161-115,padchest,c1033
17651906932213847884957685787371609478_ock1vn,padchest,c1034
00000504_000,chestxray14,c1035
00001542_000,chestxray14,c1036
216840111366964013590140476722013059123203345_02-066-154,padchest,c1037
3916_IM-1991-1001,openi,c1038
2023_IM-0669-1001,openi,c1039
00000557_000,chestxray14,c1041
309_IM-1444-1001,openi,c1042
221693064728067553838136296831898217001_ab25zc,padchest,c1043
67174718755424410647421129526728544213_c3gpn1,padchest,c1044
00001910_000,chestxray14,c1045
00001237_000,chestxray14,c1046
238943208385072402449775947445455366662_oedpdw,padchest,c1047
3122_IM-1467-1001,openi,c1048
3104_IM-1455-1001,openi,c1049
35927938238328483643566404063942889541_isvnlm,padchest,c1050
216840111366964012339356563862009051081329620_00-056-148,padchest,c1051
00001611_001,chestxray14,c1052
3125_IM-1469-1001,openi,c1053
76560150904636071612755723309139174964_v5clmo,padchest,c1056
970_IM-2460-2001,openi,c1057
251979766241011160904439741763680919960_9rdlwp,padchest,c1058
00001731_000,chestxray14,c1059
497_IM-2114-1001,openi,c1060
00000300_000,chestxray14,c1061
235389214263218836736803315615511492270_m5ibyb,padchest,c1062
00000190_000,chestxray14,c1063
1366_IM-0237-1001,openi,c1064
65215685036359010034785286207773145837_hyo3th,padchest,c1065
252405303890248982249670754460820150374_pc0je6,padchest,c1066
317_IM-1493-1001,openi,c1067
2333155493563191732316260361792316401_aly9ns,padchest,c1068
286789935171139045640591411895747537596_q36q4h,padchest,c1070
00000795_000,chestxray14,c1071
676_IM-2248-1001,openi,c1072
1296_IM-0195-1001-0002,openi,c1073
JPCNN040,jsrt,c1074
3422_IM-1656-1001,openi,c1075
00001942_000,chestxray14,c1076
433_IM-2073-1001,openi,c1077
310_IM-1451-0001-0001,openi,c1078
17999748585309753097054460391174396605_ua2gt7,padchest,c1079
2866_IM-1273-1001,openi,c1080
223913261537463530693343052926588555256_dwi8jm,padchest,c1081
233614396979611052904921149832974104903_8jw79v,padchest,c1082
204257354401415252004339301811279567815_ex71av,padchest,c1083
297727761328291919801925635335427209630_lbb7qg,padchest,c1084
49410217976457239865903284083789359085_pg8a9x,padchest,c1085
312994456375610412731251957927392870666_jxu4wg,padchest,c1086
274324148566784066165992077115582152902_z7969z,padchest,c1087
00001569_002,chestxray14,c1088
00001077_000,chestxray14,c1090
00001394_001,chestxray14,c1091
00001558_000,chestxray14,c1092
216840111366964013340662495472012130100407832_01-077-140,padchest,c1093
JPCNN008,jsrt,c1096
00001680_000,chestxray14,c1097
00000590_000,chestxray14,c1098
2937_IM-1339-1001,openi,c1099
00000679_000,chestxray14,c1100
237286322325771137754740764792542178831_3q0mdb,padchest,c1101
00001893_000,chestxray14,c1102
3897_IM-1978-1001,openi,c1103
2663_IM-1144-1001,openi,c1104
00001550_000,chestxray14,c1105
275141912861273967941575707061347549639_kv0nbh,padchest,c1106
245509811620664355564918238604018287879_3cgw56,padchest,c1107
47065451676188993956264004000297053099_pcs67a,padchest,c1108
3998_IM-2048-1001,openi,c1109
00000234_000,chestxray14,c1110
00001225_000,chestxray14,c1111
00000718_000,chestxray14,c1112
216840111366964013340662495472012124142800646_01-076-075,padchest,c1113
2016_IM-0665-1001,openi,c1114
266163133033867538504172533639291357637_pk1rq1,padchest,c1115
3441_IM-1666-1001,openi,c1116
233855355257427883542417935337833434395_26q77o,padchest,c1117
216840111366964012558082906712010039143612506_03-166-144,padchest,c1118
216840111366964013686042548532013204131611835_02-026-005,padchest,c1119
216840111366964013217898866992012019081120651_01-040-080,padchest,c1120
262596904420735928110979632873247890327_9jlttm,padchest,c1121
240993418707876858536613826011412977691_g1qsxi,padchest,c1122
00001471_000,chestxray14,c1123
3183_IM-1502-1001,openi,c1124
00001570_000,chestxray14,c1125
216840111366964012339356563862009061124446474_00-049-116,padchest,c1127
00000768_000,chestxray14,c1128
00000763_000,chestxray14,c1129
00000266_000,chestxray14,c1130
2391_IM-0944-1001,openi,c1131
365_IM-1812-1001,openi,c1132
00001560_000,chestxray14,c1133
2392_IM-0944-1001,openi,c1134
741_IM-2297-1001,openi,c1135
00000933_000,chestxray14,c1136
2948_IM-1348-1001,openi,c1137
222903195543054630998217816896348187815_9vczt9,padchest,c1138
00001260_000,chestxray14,c1139
38367017040383874343207450939637920545_qk4v6u,padchest,c1140
282677574917629778371314370824906992883_rrlpbc,padchest,c1141
3574_IM-1756-1001,openi,c1142
JPCNN025,jsrt,c1143
00000650_000,chestxray14,c1144
00000577_000,chestxray14,c1145
683_IM-2254-1001,openi,c1146
3446_IM-1669-1001,openi,c1147
2592_IM-1084-1001,openi,c1148
3904_IM-1983-1001,openi,c1149
92166967649472547725346463894208998209_7uyi28,padchest,c1150
893_IM-2403-1001,openi,c1151
00000423_000,chestxray14,c1152
200946304003100610862647488110769066429_um6frn,padchest,c1153
00000652_000,chestxray14,c1154
91422054437801568030484075936132100606_jr0ji8,padchest,c1155
00001174_000,chestxray14,c1156
195461176064340448274251704252327246960_24suly,padchest,c1157
2215_IM-0820-1001,openi,c1158
450_IM-2082-1001,openi,c1159
284006797699282438230725974776106107594_my1jvf,padchest,c1160
00000706_000,chestxray14,c1161
3900_IM-1980-1001,openi,c1162
3744_IM-1871-0001-0001,openi,c1163
00000384_000,chestxray14,c1164
216840111366964012959786098432011052161027989_00-179-001,padchest,c1165
326389759462316438345231806607048318739_vf2xws,padchest,c1166
229613054612300197984413750700187580923_ugk9di,padchest,c1167
00001666_000,chestxray14,c1168
2591_IM-1083-1001,openi,c1170
2770_IM-1213-1001,openi,c1171
321956562134190997249011971644620627879_pgbs6y,padchest,c1172
256137303834281853331818604382731144315_vhssrb,padchest,c1173
216840111366964013200840352202011313133643443_01-023-158,padchest,c1174
00001658_000,chestxray14,c1175
00000683_001,chestxray14,c1176
1467_IM-0302-1001,openi,c1177
00000211_003,chestxray14,c1178
JPCNN063,jsrt,c1179
147_IM-0303-1001,openi,c1180
2316_IM-0889-1001,openi,c1181
216840111366964013590140476722013052104140323_02-068-192,padchest,c1182
268934630969489323315979771814896881152_xtu84u,padchest,c1183
3284_IM-1565-20001,openi,c1184
3505894701077000947559958786983469283_qcxlfu,padchest,c1185
2796_IM-1228-1001,openi,c1186
276_IM-1207-1001,openi,c1187
216840111366964012989926673512011117124252655_00-156-043,padchest,c1188
JPCNN017,jsrt,c1189
2971_IM-1362-2001,openi,c1190
320696390929865497959977958878160453377_ltaux2,padchest,c1191
1661_IM-0437-1001,openi,c1192
213051648062143943120267556908790091497_pj3cyu,padchest,c1193
1340_IM-0220-1001,openi,c1194
72375082063386298979017027893313224404_rag1n2,padchest,c1195
3948_IM-2017-1001,openi,c1196
993_IM-2478-1001,openi,c1197
96313722429918622858247474870850333106_vasrzg,padchest,c1198
00001606_004,chestxray14,c1199
2877_IM-1283-1001,openi,c1200
00001101_006,chestxray14,c1201
470_IM-2099-3001,openi,c1202
85866326466299232260784932096652895459_w6u4og,padchest,c1203
00000811_000,chestxray14,c1204
JPCNN004,jsrt,c1205
00000334_001,chestxray14,c1206
41097760927106934743762917212542714291_fa7ldj,padchest,c1207
00000880_000,chestxray14,c1208
00000731_004,chestxray14,c1209
3749_IM-1874-1001,openi,c1210
1834_IM-0539-1001,openi,c1211
291741715506758839680626144869493536738_e1wjxp,padchest,c1212
JPCNN012,jsrt,c1213
154_IM-0350-1001,openi,c1214
2993_IM-1380-1001,openi,c1215
2460_IM-0993-1001,openi,c1216
3285_IM-1566-1001,openi,c1217
00001032_000,chestxray14,c1218
12291863733850937777048929212522779760_1aatlc,padchest,c1219
00001656_002,chestxray14,c1220
216840111366964013686042548532013233140748599_02-000-030,padchest,c1221
1199_IM-0133-1001,openi,c1222
216840111366964013076187734852011234124451258_00-118-027,padchest,c1223
3141_IM-1477-1001,openi,c1224
216840111366964012487858717522009243110221099_00-019-128,padchest,c1225
216840111366964012558082906712010069141656497_03-163-015,padchest,c1228
216840111366964012558082906712009303131620685_00-076-061,padchest,c1229
1396_IM-0252-2001,openi,c1230
3726_IM-1862-1001,openi,c1232
JPCNN061,jsrt,c1233
286255325484547014252536052554621773703_4mxkxy,padchest,c1234
JPCNN020,jsrt,c1235
00001361_000,chestxray14,c1236
00000446_001,chestxray14,c1237
62635517325770766322821153938790593514_vy58rt,padchest,c1238
242_IM-0963-1001,openi,c1239
00001547_004,chestxray14,c1240
570_IM-2170-1001,openi,c1241
216840111366964013916396606442014049131229385_01-184-024,padchest,c1242
704_IM-2267-1001,openi,c1243
00000281_000,chestxray14,c1244
214610259637453620754505515453289611740_x4k5sg,padchest,c1245
2870_IM-1276-1001,openi,c1246
3647_IM-1809-1001,openi,c1247
294964705636273500500738969432814785925_myydkm,padchest,c1248
280044953632140207008341026894753369572_tgjqya,padchest,c1249
3505_IM-1707-1001,openi,c1250
00000151_000,chestxray14,c1251
1920_IM-0598-1001,openi,c1252
00000980_000,chestxray14,c1253
6_IM-2192-1001,openi,c1255
00000087_001,chestxray14,c1256
5299688765358873873718706286353573208_vat62x,padchest,c1257
13824587962386862165970724071714936816_gd9hax,padchest,c1258
00001441_000,chestxray14,c1259
3871_IM-1964-1001,openi,c1260
89038387372513731738784084876165714584_mgelk9,padchest,c1261
00000969_000,chestxray14,c1262
63689400947526757837852879756844955474_cx0qt6,padchest,c1263
3400_IM-1644-1001,openi,c1264
69482454427136223031415032657955895290_nw1zi4,padchest,c1265
320891368243813936056859527367887697230_h8medp,padchest,c1266
00001109_000,chestxray14,c1267
216840111366964013916396606442014042142400174_01-180-113,padchest,c1268
1969_IM-0630-1001,openi,c1269
3427_IM-1657-1001,openi,c1270
1470_IM-0303-1001,openi,c1271
00000626_000,chestxray14,c1272
JPCNN077,jsrt,c1273
00001371_000,chestxray14,c1274
362_IM-1791-1001,openi,c1275
28201719080458836625058488127110566306_1er1zq,padchest,c1276
1812_IM-0525-1001,openi,c1277
236_IM-0924-1001,openi,c1278
3698_IM-1846-1001,openi,c1279
00001499_000,chestxray14,c1280
00001379_000,chestxray14,c1281
652_IM-2229-1001,openi,c1282
1316_IM-0205-1002,openi,c1283
3913_IM-1989-84584001,openi,c1284
00000358_000,chestxray14,c1285
00001865_000,chestxray14,c1286
00001708_000,chestxray14,c1287
2529_IM-1044-1001,openi,c1288
3663_IM-1822-1001,openi,c1289
00001780_000,chestxray14,c1290
1582_IM-0378-1001,openi,c1291
2960_IM-1354-1001,openi,c1292
216840111366964013686042548532013148135639742_02-044-163,padchest,c1293
195004939191074233937295533577309002157_ncp4p5,padchest,c1294
2515_IM-1036-1001,openi,c1295
536_IM-2143-1001,openi,c1296
737_IM-2295-1001,openi,c1297
00001121_000,chestxray14,c1298
85785579287408470691464210657928948942_azl9qo,padchest,c1299
00000792_000,chestxray14,c1300
216840111366964013649107288022013102093503097_02-069-042,padchest,c1301
321841065636333676127498912663349439327_th4ucg,padchest,c1302
00000865_004,chestxray14,c1303
241526386838833261599173452393490210870_9pl2qs,padchest,c1304
00001907_000,chestxray14,c1305
00001726_000,chestxray14,c1306
216840111366964013366713840282012134140255685_01-073-050,padchest,c1307
218432667729421820201599441343780987875_8d487q,padchest,c1308
216840111366964013297909654432012053122548242_01-094-046,padchest,c1309
301642689082070280413673069184423814258_p61vc9,padchest,c1310
226765687671885424545852113239868637834_wxh9p1,padchest,c1311
216840111366964012558082906712009307085701276_00-109-133,padchest,c1312
00000850_000,chestxray14,c1313
2389_IM-0944-1001,openi,c1314
00000414_000,chestxray14,c1315
1175_IM-0119-1001,openi,c1316
1236_IM-0158-1001,openi,c1317
3594_IM-1772-1001,openi,c1318
298_IM-1369-1001,openi,c1319
195080959381524601814993201022341403795_hhu1nr,padchest,c1320
1380_IM-0245-1001,openi,c1321
2659_IM-1140-1001,openi,c1323
00000786_000,chestxray14,c1324
00000192_000,chestxray14,c1325
1814_IM-0527-1001,openi,c1326
00000992_001,chestxray14,c1327
JPCNN005,jsrt,c1328
1737_IM-0485-1001,openi,c1329
00001254_000,chestxray14,c1330
247056041142643561323976918650959054805_7u4tzo,padchest,c1331
2662_IM-1143-2002,openi,c1332
58054824339082692713604985266043371256_wxwp7l,padchest,c1333
00000444_003,chestxray14,c1334
00000443_003,chestxray14,c1335
290960927512976134692822613467124236710_4op9ny,padchest,c1336
JPCNN072,jsrt,c1337
899_IM-2407-1001,openi,c1338
2660_IM-1142-1001,openi,c1339
2413_IM-0959-1001,openi,c1340
96668853631143418025622557218508467521_gi59t6,padchest,c1341
00001779_000,chestxray14,c1342
258055173326723517262722952856353517225_gxjwwm,padchest,c1344
3146_IM-1479-1001,openi,c1345
242965503495145428169868416072640608216_3fg1sh,padchest,c1347
00001511_001,chestxray14,c1348
00000468_044,chestxray14,c1349
00000115_000,chestxray14,c1350
2089_IM-0720-1001,openi,c1351
127522431331980901150_00-026-134,padchest,c1352
89336116110391167174569418482316637546_a3aaqo,padchest,c1353
2804_IM-1235-1001,openi,c1354
1502_IM-0328-1001,openi,c1355
00000427_000,chestxray14,c1356
2735_IM-1189-1001,openi,c1357
3731_IM-1865-1001,openi,c1358
229187895033485892146992511312436294739_7kqv27,padchest,c1359
00001045_002,chestxray14,c1360
289682694213356402625797282501135538813_90byod,padchest,c1361
216840111366964013686042548532013185120318830_02-027-130,padchest,c1362
2160_IM-0778-1001,openi,c1363
201910627554426204940159481285840174842_8b0dy2,padchest,c1364
310153599197782267633825289779173416082_i6mehx,padchest,c1365
